Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Non-Travel,1117,Sales,18,5,Medical,1,1,2,Male,65,3,5,Sales Executive,4,Married,5766,8354,2,Y,No,24,3,1,80,1,24,0,1,13,12,3,2
46,No,Travel_Rarely,1486,Research & Development,7,4,Marketing,1,2,2,Female,84,1,5,Sales Executive,1,Married,12369,13361,8,Y,No,20,3,2,80,2,34,6,4,7,17,0,8
32,No,Non-Travel,655,Research & Development,7,2,Other,1,3,2,Male,42,2,5,Sales Executive,2,Married,18947,17513,0,Y,No,18,3,4,80,1,8,4,4,29,13,9,9
25,No,Travel_Frequently,404,Human Resources,11,2,Medical,1,4,1,Male,66,4,2,Sales Representative,3,Married,7124,23075,0,Y,No,12,3,2,80,2,5,4,3,21,17,4,6
38,No,Travel_Rarely,522,Research & Development,4,1,Other,1,5,4,Female,76,2,2,Manufacturing Director,1,Single,6446,15180,4,Y,Yes,12,3,2,80,2,25,4,3,22,3,14,1
56,No,Travel_Rarely,1371,Sales,20,5,Human Resources,1,6,3,Female,51,4,3,Sales Representative,2,Married,10281,4998,7,Y,No,18,4,2,80,3,37,6,4,39,14,14,7
36,Yes,Travel_Frequently,1362,Research & Development,1,3,Life Sciences,1,7,4,Female,68,2,4,Healthcare Representative,1,Divorced,13135,13586,1,Y,No,24,3,3,80,2,38,0,2,12,4,7,6
40,No,Travel_Rarely,286,Research & Development,13,3,Other,1,8,1,Male,87,2,3,Sales Representative,2,Single,17480,3217,3,Y,Yes,19,4,4,80,1,26,3,1,27,13,0,4
28,No,Non-Travel,569,Sales,18,2,Human Resources,1,9,2,Female,59,2,5,Sales Representative,4,Divorced,8124,15524,5,Y,No,20,3,1,80,3,39,6,3,29,15,13,3
28,No,Non-Travel,855,Human Resources,9,4,Other,1,10,3,Male,47,1,5,Manufacturing Director,1,Married,3712,17093,0,Y,Yes,23,3,3,80,0,30,5,4,4,14,2,10
41,No,Travel_Rarely,464,Research & Development,26,2,Marketing,1,11,3,Male,47,3,1,Research Scientist,3,Single,12160,25413,3,Y,No,23,3,4,80,0,2,3,1,9,10,0,9
53,Yes,Travel_Rarely,1408,Human Resources,24,1,Marketing,1,12,4,Female,68,1,3,Research Director,1,Married,19811,22794,3,Y,No,11,3,4,80,2,23,3,1,38,1,12,0
57,No,Non-Travel,437,Research & Development,24,4,Marketing,1,13,1,Male,55,2,5,Research Scientist,4,Divorced,5156,20748,8,Y,Yes,24,4,3,80,0,14,6,4,8,17,5,3
41,No,Travel_Rarely,263,Research & Development,9,3,Marketing,1,14,1,Male,36,4,5,Human Resources,4,Married,2756,21202,8,Y,No,12,3,2,80,0,5,3,2,13,3,9,5
20,No,Travel_Rarely,1285,Research & Development,23,5,Medical,1,15,1,Male,98,2,4,Healthcare Representative,2,Married,9241,10215,5,Y,No,14,3,4,80,3,10,2,2,37,14,0,12
39,No,Travel_Rarely,1447,Sales,9,5,Marketing,1,16,3,Male,94,3,1,Human Resources,4,Married,16160,26149,7,Y,No,22,3,1,80,1,29,0,3,9,11,9,12
19,No,Travel_Rarely,113,Research & Development,10,1,Marketing,1,17,4,Male,75,1,3,Human Resources,2,Married,11339,20736,9,Y,No,13,3,3,80,0,34,1,4,32,2,11,0
41,No,Non-Travel,1198,Research & Development,28,2,Medical,1,18,3,Female,47,3,2,Research Director,4,Single,17431,22340,3,Y,Yes,11,3,4,80,0,37,0,3,10,3,2,3
47,Yes,Travel_Frequently,689,Sales,2,1,Marketing,1,19,3,Male,42,4,3,Research Director,2,Single,12285,5740,9,Y,No,14,4,1,80,1,39,3,2,39,15,14,3
55,No,Travel_Rarely,302,Research & Development,6,5,Human Resources,1,20,2,Female,54,3,3,Manufacturing Director,3,Single,19544,15267,7,Y,No,21,3,1,80,3,28,2,3,5,5,4,14
19,No,Travel_Rarely,623,Research & Development,15,3,Human Resources,1,21,4,Male,37,1,4,Manufacturing Director,2,Single,4946,9119,2,Y,No,23,4,1,80,3,22,2,3,16,1,4,14
38,No,Travel_Rarely,606,Research & Development,3,5,Technical Degree,1,22,2,Male,61,4,3,Research Scientist,2,Single,7895,14643,1,Y,No,21,3,1,80,0,2,0,2,35,8,1,16
50,Yes,Travel_Frequently,889,Research & Development,11,4,Human Resources,1,23,1,Male,46,3,4,Manufacturing Director,3,Married,11291,16947,5,Y,No,12,3,3,80,2,25,1,1,5,11,2,4
29,No,Travel_Rarely,1164,Sales,6,5,Life Sciences,1,24,3,Male,77,1,4,Manufacturing Director,2,Married,1217,19749,4,Y,No,20,3,1,80,1,13,6,1,9,11,13,10
39,No,Travel_Rarely,161,Human Resources,3,5,Life Sciences,1,25,4,Female,92,1,5,Manager,2,Single,1608,11083,7,Y,No,15,3,3,80,3,18,6,2,4,13,12,15
42,No,Travel_Rarely,679,Sales,24,4,Life Sciences,1,26,1,Male,69,2,2,Laboratory Technician,3,Single,4718,13420,0,Y,No,11,3,1,80,0,20,3,1,18,16,8,1
44,No,Travel_Rarely,422,Research & Development,11,2,Medical,1,27,4,Male,44,3,4,Research Scientist,4,Single,17606,5557,9,Y,No,24,3,1,80,3,20,2,4,6,8,12,16
59,Yes,Non-Travel,1024,Research & Development,15,5,Human Resources,1,28,3,Female,35,4,1,Research Director,1,Married,6732,16482,2,Y,Yes,18,3,3,80,0,8,3,1,23,11,0,0
45,No,Travel_Rarely,670,Research & Development,13,1,Life Sciences,1,29,4,Male,92,2,1,Research Scientist,2,Single,15013,16169,6,Y,No,20,3,2,80,1,12,3,2,18,9,12,16
33,No,Travel_Rarely,1203,Sales,20,5,Technical Degree,1,30,1,Female,37,3,2,Research Director,4,Married,10777,12641,9,Y,No,12,3,4,80,2,36,5,4,10,10,0,4
32,Yes,Travel_Rarely,1319,Research & Development,28,1,Medical,1,31,2,Female,61,3,4,Sales Representative,1,Married,11325,7035,3,Y,No,21,3,4,80,1,37,3,3,2,1,11,12
20,No,Non-Travel,1410,Research & Development,10,4,Technical Degree,1,32,3,Male,74,4,2,Laboratory Technician,3,Married,19801,18104,9,Y,No,13,3,3,80,3,23,4,2,29,15,1,5
54,Yes,Travel_Rarely,628,Sales,6,5,Human Resources,1,33,2,Male,81,2,5,Manager,2,Married,8981,2991,4,Y,Yes,13,3,1,80,3,37,5,2,37,0,7,12
24,No,Travel_Rarely,625,Research & Development,15,4,Marketing,1,34,3,Male,42,2,1,Manager,2,Single,18215,10338,7,Y,No,14,3,3,80,3,10,3,1,5,0,5,3
38,Yes,Travel_Rarely,714,Research & Development,25,4,Technical Degree,1,35,1,Female,53,4,3,Healthcare Representative,3,Single,19988,2699,0,Y,Yes,17,3,1,80,2,28,3,4,34,1,13,8
26,No,Travel_Frequently,1281,Human Resources,18,2,Marketing,1,36,3,Male,69,2,1,Research Director,2,Single,16555,5771,0,Y,No,23,3,3,80,1,37,1,2,21,11,3,2
56,Yes,Travel_Rarely,1465,Sales,18,5,Medical,1,37,2,Male,43,1,4,Healthcare Representative,1,Single,11300,6641,6,Y,No,19,3,4,80,0,16,6,4,10,17,6,7
35,No,Travel_Rarely,226,Sales,7,1,Technical Degree,1,38,3,Male,99,4,2,Sales Representative,1,Single,12803,10746,8,Y,No,13,3,3,80,1,25,5,4,7,11,5,12
21,No,Travel_Rarely,972,Research & Development,15,1,Technical Degree,1,39,1,Male,91,3,1,Manager,3,Married,12668,19252,3,Y,No,11,3,4,80,1,25,6,1,26,0,8,10
42,No,Travel_Frequently,381,Research & Development,18,5,Other,1,40,3,Male,90,4,3,Sales Representative,2,Single,8992,7350,7,Y,No,21,3,4,80,2,11,5,2,28,10,5,9
31,No,Travel_Rarely,1018,Sales,18,2,Medical,1,41,2,Female,30,1,3,Human Resources,4,Divorced,7509,18427,9,Y,No,20,3,4,80,1,17,1,4,7,1,1,10
26,No,Travel_Frequently,723,Sales,20,2,Medical,1,42,1,Male,95,4,2,Laboratory Technician,2,Single,2643,23969,6,Y,No,11,3,3,80,3,8,4,4,22,11,2,2
43,No,Travel_Rarely,947,Human Resources,9,2,Life Sciences,1,43,2,Female,61,3,2,Sales Representative,3,Divorced,15068,22508,1,Y,Yes,22,3,2,80,2,2,5,3,28,1,8,13
19,No,Travel_Rarely,775,Research & Development,24,1,Human Resources,1,44,3,Female,42,3,1,Laboratory Technician,4,Married,5823,16824,4,Y,No,21,3,3,80,3,9,4,1,15,16,14,13
37,No,Travel_Rarely,1253,Sales,2,4,Technical Degree,1,45,4,Male,62,4,4,Research Scientist,1,Married,18560,7250,8,Y,No,16,3,3,80,3,1,3,2,34,5,14,3
45,No,Travel_Frequently,415,Research & Development,8,2,Technical Degree,1,46,2,Male,61,4,5,Sales Representative,1,Married,5085,7867,8,Y,No,15,3,2,80,1,7,2,4,7,15,6,0
24,No,Travel_Rarely,433,Research & Development,20,1,Medical,1,47,3,Male,85,1,3,Manufacturing Director,4,Married,9399,25653,2,Y,No,20,3,2,80,0,17,2,1,7,18,5,1
25,No,Travel_Frequently,1275,Sales,2,1,Medical,1,48,4,Female,53,1,2,Sales Executive,4,Divorced,6451,12980,2,Y,No,17,3,4,80,1,38,0,2,32,5,12,5
52,No,Travel_Frequently,137,Research & Development,11,4,Human Resources,1,49,4,Male,33,3,5,Manager,3,Married,4514,18024,1,Y,Yes,17,3,1,80,0,30,2,4,4,6,4,12
31,No,Travel_Rarely,1147,Research & Development,26,5,Medical,1,50,1,Female,52,2,5,Manager,2,Single,18195,5612,6,Y,Yes,13,3,1,80,2,13,2,2,36,18,2,13
34,Yes,Travel_Frequently,307,Research & Development,7,5,Marketing,1,51,4,Female,58,2,5,Manager,1,Married,1511,8869,5,Y,No,17,3,4,80,2,38,1,2,16,16,3,0
53,Yes,Travel_Frequently,740,Research & Development,6,2,Marketing,1,52,2,Male,50,2,4,Research Scientist,2,Single,13765,26084,4,Y,Yes,19,3,3,80,2,32,0,1,21,5,0,7
57,No,Travel_Rarely,949,Research & Development,10,2,Other,1,53,2,Female,59,2,2,Sales Executive,1,Divorced,15271,7472,6,Y,Yes,18,3,1,80,3,28,6,1,13,14,4,13
21,No,Travel_Rarely,1481,Research & Development,5,4,Marketing,1,54,4,Male,49,3,3,Laboratory Technician,2,Married,17150,15728,3,Y,No,13,3,3,80,3,32,0,3,37,8,6,1
19,No,Non-Travel,541,Sales,11,2,Marketing,1,55,3,Female,45,2,2,Research Scientist,1,Single,11614,8767,4,Y,No,20,4,2,80,2,34,1,3,31,1,1,11
23,No,Travel_Rarely,830,Research & Development,1,4,Human Resources,1,56,2,Male,96,2,1,Manager,2,Single,8948,8538,8,Y,No,15,3,2,80,1,1,2,3,13,4,10,0
59,No,Travel_Frequently,1221,Research & Development,2,1,Technical Degree,1,57,2,Male,78,4,3,Manager,3,Single,5728,16270,8,Y,No,23,4,4,80,3,34,2,4,19,4,11,14
21,No,Non-Travel,1042,Sales,24,2,Marketing,1,58,1,Male,87,2,2,Healthcare Representative,1,Divorced,8757,11473,3,Y,No,23,3,3,80,3,31,0,3,21,11,7,10
46,No,Travel_Rarely,265,Sales,1,1,Other,1,59,3,Female,73,4,3,Healthcare Representative,3,Divorced,3879,5821,5,Y,No,24,3,4,80,1,35,2,2,29,9,14,16
35,Yes,Travel_Rarely,249,Sales,19,3,Medical,1,60,4,Male,54,3,1,Human Resources,1,Single,5767,22474,1,Y,No,18,3,1,80,3,22,0,1,32,3,11,2
43,No,Travel_Rarely,395,Research & Development,2,4,Marketing,1,61,3,Female,52,4,3,Healthcare Representative,1,Married,14047,16319,2,Y,No,12,3,1,80,1,4,2,2,4,11,9,14
51,No,Travel_Rarely,296,Sales,21,3,Other,1,62,1,Male,88,1,5,Manager,1,Divorced,6977,24859,8,Y,No,24,3,1,80,0,15,3,1,17,14,5,12
27,No,Travel_Rarely,764,Sales,20,2,Human Resources,1,63,1,Male,30,4,4,Manufacturing Director,2,Single,12668,25290,5,Y,No,24,3,3,80,1,39,1,1,6,9,9,2
53,No,Travel_Rarely,581,Research & Development,23,1,Medical,1,64,3,Male,44,2,1,Sales Executive,1,Single,18491,20467,7,Y,No,17,3,4,80,0,23,5,2,28,17,13,12
31,Yes,Travel_Rarely,224,Research & Development,21,2,Other,1,65,1,Male,81,4,3,Manufacturing Director,3,Single,17775,17562,4,Y,No,21,3,4,80,3,39,4,2,8,4,2,8
48,Yes,Travel_Frequently,800,Sales,24,3,Marketing,1,66,1,Male,87,4,1,Research Scientist,2,Single,8799,6439,1,Y,No,20,3,1,80,0,27,6,4,6,12,1,9
32,No,Travel_Frequently,1066,Human Resources,4,2,Technical Degree,1,67,1,Male,70,3,5,Laboratory Technician,2,Single,10594,10268,6,Y,Yes,20,3,4,80,1,24,3,1,6,3,7,0
25,No,Travel_Rarely,762,Research & Development,12,5,Medical,1,68,3,Female,73,3,4,Sales Representative,1,Divorced,5280,15146,5,Y,No,17,3,2,80,0,6,2,3,5,8,12,1
